"","titulo","descricao","theme","location","target"
"1","Empower a Girl: For Self-Reliance","Kole Intellectual Forum intends to influence the ideas of policy makers at all levels, educationists, community and youth in Uganda to include the course unit of Home Economics in the syllabus of basic education with the intention to promote quality, sustainable, and potential education by building an Institute of Home Economics at Kole District, Northern Uganda.","Education","Uganda",11
"2","Provide Urgent Medical Attention To Syrians","This campaign aims to support URGENT medical needs of those most in need in northern Syria through supporting our hospitals, medical centers and mobile clinics located there","Physical Health","Syrian Arab Republic",20
"3","Educate 500 Orphans in Syria","In Syria... did you know that thousands of orphans are deprived of their fundamental right to education? They suffer poverty and displacement without parental care. These young children carry significant burdens at such a tender age. Through our project, we strive to reach out and provide free education to 500 orphaned students in Syria. We are dedicated to offering an opportunity for a better future to these children facing challenging circumstances.","Education","Syrian Arab Republic",11
"4","Provide Gift & food to 700 Street Children","Under this project, 700 street & poor slum children will be given Nutrition food, Gift, New Dress, Lunch/Dinner, Toys & Happiness. The Program will be quite unique. For poor street & slum children all this is a dream. But will it be possible. A meal & gifts for 700 poor children life will become a golden memory.","Education","India",11
"5","Lifeskills for 2,587 Children in South Africa","Join Keep The Dream196 in changing 2,587 South African orphaned and vulnerable children's lives. The kids aged 5-26yrs, changing families, villages and eventually the country, by transferring life skills and infusing hope, we are impacting and building South Africa today. The children learn and apply for example: integrity, honesty & self leadership in practical everyday situations. ""Turning 18 all I had to look forward to was learning to smoke and dying of AIDS, now I have hope""- says Ronny.","Physical Health","South Africa",20
"6","Educate a Girl, Educate a Nation - Sierra Leone","This project focuses on providing essential resources and support to advance girls' education, including tuition support, vocational and computer training, mentoring, and STEM programs. It also provides necessary supplies such as books, school and teaching materials, and solar lights. The program aims to break down barriers and empower girls to become self-sufficient leaders in their communities by giving them access to education and resources.","Gender Equality","Sierra Leone",15
"7","Support High Atlas community earthquake resilience","On 9/8/2023, a massive earthquake struck Marrakech & the High Atlas with deadly force. We are committed to providing immediate & long-term support to alleviate immense suffering & restore resilience of rural communities where we have worked for 10+ years, including at Dar Taliba. Our hearts ache for our team & communities who have lost family & seen their homes reduced to rubble. These villages are among the most marginalised & remote in Morocco. Please help us to provide relief & rebuild.","Disaster Response","Morocco",8
"8","Janani Home: Embracing Hope for Abandoned Girls","Janani Home which was established in 2012, transforms the lives of underprivileged and abandoned young girls. The children are taken care for their safe stay, food, health care, and education. The children after their school are sent to University and assist them to get employment and make them to be on their own.","Child Protection","India",2
"9","Forests4Water Brazil: Community Climate Action","If there's one thing that the pandemic has taught us, it's how interdependent we all are, and how what happens in one place can affect others, thousands of miles away. Take rainforests. Home to half of the biodiversity on earth, they store carbon, produce oxygen and play a crucial role in regulating the water cycle and stabilizing weather patterns over huge areas. Global warming demands that we take urgent action to protect and restore the ecosystems on which all our lives depend, starting now.","Climate Action","Brazil",4
"10","Sponsor 500 Syrian Patients","This campaign aims to alleviate the suffering of the vulnerable patients in northwest Syria through sponsoring the costs of medical consultations and surgical operations.","Physical Health","Syrian Arab Republic",20
"11","Support for menstrual health for girls in India","Through the Smiley Days project, IDF helps girls and women in overcoming the social barriers associated with menstruation. By providing them with the right information, products and facilities, we will ensure an equal opportunity for girls across India whilst contributing to reach 4 key Global Sustainable Development Goals.","Gender Equality","India",15
"12","Educate 500 Syrian Refugee Students","The project will provide free education using remote learning platforms like Microsoft Teams to 500 students who have been deprived of education due to the challenging circumstances, disruptions, displacement, and poverty in northern Syria. Most of these students come from vulnerable groups such as orphans, children with disabilities, and those living in refugee camps in the north of the country.","Education","Syrian Arab Republic",11
"13","Earthquake Relief for Moroccan Communities","On September 8, 2023, an earthquake left more than 2,900 dead and 5,500 injured in the provinces of Al Haouz, Taroudant, Azilal, Ouarzazate and Chichaoua. The tremors caused significant damage to homes and key infrastructure, collapsing wells, destroying agricultural terraces, making roads inaccessible, and leaving, in some cases, entire villages leveled and without access to water, food, or medical care.","Disaster Response","Morocco",8
